Morford	Mark P. O.
Wilbur	Richard
Ludlum	Robert
Suter	Martin
Suter	Martin
Hyde	Catherine Ryan
Tartt	Donna
Anderson	Kevin J.
Hoffman	Alice
Allison	Dorothy
Roberts	Nora
Tolkien	J.R.R.
Sterling	Bruce
Spencer	Wen
Sterling	Bruce
Adams	Scott
Schuchman	John S.
LLYWELYN	MORGAN
Moon	Elizabeth
Gibson	William
Sterling	Bruce
Austen	Mary
Walker	Lou Ann
Sterling	Bruce
Friedman	C.S.
GIBSON	WILLIAM
Sterling	Bruce
Austen	Mary
Moore	Michael
Moorcock	Michael
McCaffrey	Anne
Moore	Matthew S.
Tucker	Bonnie Poitras
Hines	Lillian M.
Gresh	Lois H.
Rowling	J. K.
Llywelyn	Morgan
Friedrich	Ernst
Stephenson	Neal
Grant	Bruce K.
Wilcox	Sherman
Brown	Dan
Moore	Michael
Evans-Wentz	W. Y.
Horne	Fiona
Llywelyn	Morgan
Huff	Tanya
Monroe	Douglas
Coddington	Mary
Mickaharic	Draja
Jordan	Robert
Edgerton	Teresa
Flaubert	Gustave
Gourevitch	Philip
Huston	Nancy
James	P.D.
Goldberg	Myla
Karr	Mary
CHANDLER	RAYMOND
Alten	Steve
Asprin	Robert
Barry	Dave
Publishing	Smithmark
Hopkinson	Nalo
Voigt	Cynthia
Voigt	Cynthia
Voigt	Cynthia
Voigt	Cynthia
Voigt	Cynthia
Voigt	Cynthia
Voigt	Cynthia
Voigt	Cynthia
Gowdy	Barbara
Munro	Alice
Gildiner	Catherine
McLaughlin	Emma
Wilde	Oscar
Koontz	Dean R.
Collins	William Wilkie
Dieguez	Sharlee
Gibbons	Stella
Williams	Maurice A.
Uhlman	Fred
Rochon	Esther
Pearl	Matthew
Gruen	Arno
benShea	Noah
ROBBINS	TOM
Snow	Elliot
Michael	Judith
McCourt	Frank
Sprinkle	Patricia
Patterson	James
Parkhurst	Carolyn
Morrison	Toni
Bourdain	Anthony
Hamilton	Lyn
Chase	David
Perls	Frederick S.
Perrin	Elula
Salvatore	R.A.
Salmonson	Jessica Amanda
Salmonson	Jessica
Carey	Diane
Thorsten	Geraldine
Donsbach	Jurt W.
Cook	Robin
Brown	Rita Mae
Schlink	Bernhard
Silverberg	Robert
GRISHAM	JOHN
Rice	Anne
Rusch	Kristine Kathryn
Friedman	Michael Jan
Graf	L. A.
Brin	David
Barry	Dave
Navratilova	Martina
Lear	Peter
Randall	Marta
Reaves	Michael
Clayton	Jo
Piper	H. Beam
Pohl	Frederik
Pollotta	Nick
Peak	Michael
Lindbergh	Anne Morrow
Jr.	James Tiptree
Phillips	Denning
Junjulas	Craig
Woudhuysen	Jan
Williams	Tad
Koontz	Dean R.
Smoke	Stephen
Koontz	Dean R.
Banks	Dale
Cornwell	Patricia D.
King	Stephen
Fforde	Jasper
Zelazny	Roger
Feist	Raymond E.
Salzman	Mark
Hansen	Ron
Lawhead	Stephen R.
Cornwell	Patricia Daniels
Iles	Greg
Rickman	Phil
DeMille	Nelson
Bateman	Tracey V.
Morris	Gilbert
Kelly	Leisha
Gear	Kathleen O'Neal
Edwards	Cassie
Hunter	Denise
Donnelly	Jennifer
Kearney	Susan
Daniels	B.J.
Kelly	Virginia
Whiddon	Karen
Lindsey	Johanna
Gaines	Alice
Mills	Jenna
Shayne	Maggie
Shayne	Maggie
KOONTZ	DEAN
Koontz	Dean R.
Koontz	Dean R.
KOONTZ	DEAN
Koontz	Dean R.
Paton	Alan
Buck	Gordon
Hemingway	Ernest
Koontz	Dean R.
FOSTER	ALAN DEAN
Cunningham	Michael
Ryan	Kevin
Doyle	Elizabeth
Herring	Linda
Brandewyne	Rebecca
Michaels	Fern
Graham	Heather
Miller	Linda Lael
Doyle	Elizabeth
McMillan	Terry
Austen	Jane
Stoker	Bram
Winchester	Simon
Clancy	Tom
Thor	Brad
Francis	Dick
Rendell	Ruth
Toubbeh	Jamil I.
Rose	M. J.
Hofstadter	Douglas R.
Wagner	Cosima
Tan	Amy
Merlis	Mark
Card	Orson Scott
Laye	Camara
Powers	William K.
Eddy	Mary Baker
Brown	Karen McCarthy
Okada	John
Murayama	Milton
Divakaruni	Chitra Banerjee
Greer	Andrew Sean
Trotter	Robert T., Ii
SUSKIND	RON
Smith	Anna Deavere
Uno	Roberta
Valdez	Luis
ULRICH	LAUREL THATCHER
Ryan	K.
Tan	Amy
Bohjalian	Chris
Saavedra	Miguel de Cervantes
Carver	Raymond
ROSTAND	EDMOND
CAPOTE	TRUMAN
Epel	Naomi
Dostoyevsky	Fyodor
Morrison	Toni
Card	Orson Scott
Lewis	C. S.
Ludlum	Robert
Captain	George Galdorisi
Robinson	Patrick
Davis	Patrick A.
Jordan	Robert
Pratchett	Terry
Queiros	Eca de
Carey	Diane
Kuralt	Charles
Amory	Cleveland
Rogers	Susan Fox
Koontz	Dean R.
Durrell	Lawrence
Mohin	Andrea
Fauglid	Anthony M.
Mendelsohn	Jane
Murray	Victoria Christopher
Rand	Ayn
Maggio	Rosalie
Evans	Richard Paul
Tozer	Aiden W.
Buck	Pearl S.
Lowry	Lois
Peck	Richard
Lamb	Wally
Hurnard	Hannah
Jakes	T. D.
Evanovich	Janet
Kaminsky	Howard
Lissner	Caren
Vincent	Paul
Kinkel	Tanja
Hegewisch	Helga
Woolf	Virginia
Leon	Donna
Fielding	Helen
Johansson	Kjell
Darnton	John
Austen	Mary
Mankell	Henning
Mankell	Henning
Rinaldi	Ann
Atkinson	Kate
Mercer	Judy
Siddons	Anne Rivers
Brown	Sandra
Rendell	Ruth
Keene	Carolyn
Carlson	Richard
Morley	Patrick
Vonnegut	Kurt
Heller	Joseph
KELLERMAN	JONATHAN
Kellerman	Faye
Keene	Carolyn
Keene	Carolyn
Keene	Carolyn
Keene	Carolyn
Littke	Lael
Friedman	Michael Jan
Snicket	Lemony
Cover	Arthur Byron
Brightfield	Richard
Packard	Edward
GEORGE	ELIZABETH
Nye	Jody Lynn
Dick	Philip K.
Niven	Larry
Dechancie	John
Debrandt	Don H.
Rendell	Ruth
Kassirer	Norma
Martin	Ann M.
Greenwald	Sheila
Johnson	Norma Tadlock
Blume	Judy
Kenyon	M.L.
Cunningham	Michael
Smith	Zadie
Shwartz	Susan
London	Jack
Trivelpiece	Laurel
Keene	Carolyn
McIntyre	Vonda N.
BISCHOFF	DAVID
Perry	Steve
Charrette	Robert N.
Charrette	Robert N.
Charrette	Robert N.
Smith	Nyx
Sargent	Carl
Charrette	Robert N.
Smith	Nyx
Findley	Nigel D.
Kenson	Stephen
Stackpole	Michael A.
Smedman	Lisa
Dowd	Tom
Odom	Mel
Weisman	Jordan K.
Sargent	Carl
Spector	Caroline
Dowd	Tom
Kenson	Stephen
Smedman	Lisa
Griffin	W. E. B.
Dozois	Gardner
Sheffield	Charles
DOHERTY	ROBERT
Flynn	Vince
Rey	Margret
KAYSEN	SUSANNA
Codrescu	Andrei
Bradley	Marion Zimmer
Reisert	Rebecca
Baldacci	David
Bauby	Jean Dominiqu
PLAIN	BELVA
Connelly	Michael
Lindsey	David L.
Kirshenbaum	Binnie
Smith	Joan
Evanovich	Janet
Russo	David Anson
Shatner	William
Emerson	Earl W.
McCaffrey	Anne
Brown	Mary
Brown	Mary
Anthony	Piers
Dickens	Charles
Rinehart	Mary
Austen	Mary
Bernall	Misty
Holmes	Shannon
Stalmann	Franziska
Dexter	Colin
Biermann	Pieke
Paglieri	Claudio
Tamaro	Susanna
Heuck	Sigrid
Keyes	Marian
Rankin	Ian
Alexander	Bruce
Ani	Friedrich
Vanderbeke	Birgit
Books	Golden
Williams	H
Andersen	C. B.
Olsen	Mary-Kate Ashley
Stine	R.L.
Meyers	Susan
Clover	Peter
Garner	Alan
Garner	Alan
Miller	Arthur
Miller	Arthur
Fisher	Robert
Smiley	Jane
Naylor	Gloria
Brett	Simon
Katzenbach	John
Kurland	Lynn
Garwood	Julie
Roberts	Nora
Roberts	Nora
Kidd	Chip
Murakami	Haruki
Austen	Jane
Vonnegut	Kurt
Vonnegut	Kurt
Irving	John
Pollack	Neal
Adams	Richard
Oe	Kenzaburo
Austen	Mary
Lucarelli	Carlo
French	Nicci
Kennedy	William J.
Hawthorne	Nathaniel
Moers	Walter
Sawyer	Robert J.
Heinlein	Robert
Willis	Connie
Martin	William
Perry	Anne
Perry	Anne
Perry	Anne
Perry	Anne
Perry	Anne
Evanovich	Janet
Parker	Robert B.
Romkey	Michael
Sloan	Susan R.
Hunter	Evan
Romkey	Michael
Brown	Rita Mae
Austin	Lynn N.
Card	Orson Scott
Sobel	Dava
Giono	Jean
Harris	Joanne
Esquivel	Laura
Jance	J.A.
Meehan	Aidan
Trollope	Anthony
Kirkpatrick	Sidney D.
Huth	Angela
Goytisolo	Juan
Chandler	Raymond
Rivas	Manuel
Lucarelli	Carlo
Weaver	Sherrie
Wodehouse	P.G.
CRANE	STEPHEN
Sayers	Dorothy Leigh
Brookner	Anita
Walser	Martin
Updike	John
Colfer	Eoin
Seiskind	Patrick
Mendoza	Eduardo
McLiam-Wilson	Robert
Doyle	Roddy
Chevalier	Tracy
Highsmith	Patricia
Illies	Florian
Lind	Hera
Hohlbein	Wolfgang
Schulman	Michael
Moore	Shelia
Thom	James Alexander
Graham	Katharine
Cooley	Martha
Shields	Carol
PACKER	ANN
Pelzer	Dave
Dobson	James
Nown	Graham
Stine	R. L.
Stine	R. L.
Chew	Ruth
Gough	Julian
Murkoff	Heidi
Jacques	Brian
Johansen	Iris
Howard	Linda
Frasier	Anne
Cross	Amanda
Jacobson	Alan
Lynds	Gayle
Parsons	Julie
Woods	Stuart
White	Stephen
Dickens	Charles
Sandford	John
Clark	Mary Higgins
Braun	Lilian Jackson
Lehane	Dennis
Moore	Brian
King	Stephen
Karoly	Jil
Hart	Maarten 't
Leary	Timothy
Newkirk	Ingrid
Curtis	Deborah
Kadet	Gary S.
Kemeny	John G
Weis	Margaret
Auster	Paul
Green	Jane
Hamilton	Jane
Hesse	Hermann
George	Jean Craighead
Kureishi	Hanif
Prater	Gene
Rooney	Andy
Young	Toby
Levine	Joshua
Philby	Rufina
Wheen	Francis
Pollock	Ellen
Cowman	L. B.
Bagdon	Paul
Kelton	Elmer
LaHaye	Tim
Madaras	Larry
Lewis	C. S.
Wilkinson	Bruce
Holt	Victoria
Miller	John R.
Steel	Danielle
GRISHAM	JOHN
Michener	James A.
Shuler	Linda Lay
Skye	Christina
Ambrose	Stephen E.
Archer	Jeffrey
Lackey	Mercedes
Stevenson	James
Caras	Roger
Clancy	Tom
Clancy	Tom
Tarr	Judith
Baxt	George
Hepinstall	Kathy
Austen	Mary
Webber	Meredith
Carroll	Lewis
BROWN	RITA MAE
Delinsky	Barbara
Pullman	Philip
HIAASEN	CARL
Hiaasen	Carl
Coughlin	William J.
Austen	Mary
Brooks	Terry
Castillo	Ana
Shaw	George Bernard
Haasse	Hella S.
Zitelmann	Arnulf
Cushman	Karen
King	Stephen
Hoeg	Peter
Dahl	Sophie
Bronte	Charlotte
Perry	Anne
May	Julian
MacAvoy	R.A.
Shakespeare	William
Fisher	R. L.
Wells	Rebecca
L'ENGLE	MADELEINE
Drakulic	Slavenka
Fitzgerald	Penelope
Donoghue	Emma
Disch	Thomas M.
Eliot	T. S.
Herriot	James
Penman	Sharon Kay
Burroughs	William S.
White	T.H.
Saberhagen	Fred
Shakespeare	William
Hanff	Helene
Gorman	Edward
Newman	Kim
Heller	Barbara L.
McMurtry	Larry
Lewis	C. S.
Evans	Roland
Brehony	Kathleen A.
Drewe	Robert
Maurensig	Paolo
Pratchett	Terry
Bach	Richard
TOLKIEN	J.R.R.
Robinson	Spider
Tolkien	J. R. R.
King	Stephen
Fuentes	Carlos
Kelder	Peter
Lama	Dalai
Mankell	Henning
Grisham	John
Kaminer	Wladimir
Mankell	Henning
Sachar	Louis
Pascal	Francine
Pascal	Francine
Doyle	Arthur Conan
Jenkins	Jerry B.
Jenkins	Jerry B.
Tripp	Valerie
Tripp	Valerie
Applegate	Katherine
Applegate	Katherine
Applegate	K. A.
Applegate	K. A.
Morreale	Marie
Whitney	Brooks
Dahl	Roald
Park	Barbara
Hall	Katy
BLUME	JUDY
Higgs	Liz Curtis
Lindgren	Astrid Ericsson
Holder	Nancy
Gallagher	Diana G.
Reisfeld	Randi
West	Cathy
Keene	Carolyn
Barnes-Svarney	Patricia
Scott	Stefanie
Keene	Carolyn
Tripp	Valerie
Porter	Connie
Tripp	Valerie
Tripp	Valerie
Martin	Ann M.
Maclachlan	Patricia
Erickson	John R.
Konigsburg	E. L.
West	Cathy
Barnes-Svarney	Patricia
Harris	Robert
Benni	Stefano
Ishiguro	Kazuo
Carrau1980	John Le
Auel	Jean M.
Anthony	Piers
Hajdu	David
Canfield	Jack
Lunn	Janet Louise Swoboda
Roca	Josep
CRICHTON	MICHAEL
Sedaris	David
STEEL	DANIELLE
Vonnegut	Kurt
ASIMOV	ISAAC
Packer	ZZ
Canfield	Jack
Krahn	Betina M.
Wharton	Edith
Puzo	Mario
Friedman	Kinky
McCaffrey	Anne
Kellerman	Jonathan
Kellerman	Jonathan
Cornwell	Patricia Daniels
Chang	Jolan
Easton	Dossie
Asimov	Isaac
Macaulay	David
Lammle	Todd
Lammle	Todd
Collins	Terah Kathryn
Jordan	Robert
Sagan	Carl
WELLS	H.G.
Villoro	Juan
Fuentes	Julio
Maalouf	Amin
Updike	John
Thompson	Victoria
Williams	Joy
Train	John
Valles	Carlos G
Gannon	J. Patrick
Walker	Alice
Tyler	Anne
Robbins	Tom
Goldberg	Philip
Shepard	Odell
Pickard	Nancy
Peck	Richard
Hoffman	Alice
Rendell	Ruth
Hemingway	Ernest
Black	Ethan
Hijuelos	Oscar
Rowling	J. K.
White	Bailey
Bach	Richard
Carvalho	Maurio de
Press	Editors of Phaidon
Blume	Judy
Gear	W. Michael
Robbins	John
RAND	AYN
Bryant	Bonnie
Wearing	Alison
Thurber	James
Baigent	Michael
Sawyer	Robert J.
MORRISON	TONI
Remen	Rachel Naomi
Lewin	Jackie
Bronte	Charlotte
ORLEAN	SUSAN
Evers	Crabbe
Wright	Nancy
Braun	Lilian Jackson
Auster	Paul
Haddon	Mark
Heron	Lisa Langford
Zafon	Carlos Ruiz
Cashwell	Peter
MCCULLERS	CARSON
Franzen	Jonathan
Morrison	Toni
Butler	Octavia E.
Kingsolver	Barbara
Woodward	Bob
Zaid	Gabriel
Hosseini	Khaled
Marquez	Gabriel Garcia
Company	Houghton Mifflin
Willis	Connie
Thomas	James
Gogol	Nikolai Vasilevich
Lewis	Charles
Skloot	Floyd
Coupland	Douglas
Stoppard	Tom
Kingsolver	Barbara
West	Cornel
Nasar	Sylvia
Wiesel	Elie
Dostoyevsky	Fyodor
Proulx	Annie
Dick	Philip K.
Englander	Nathan
Sebold	Alice
Carter	Susan
Coll	Pep
Dahl	Roald
Olaizola	Jose Luis
Hinton	Susan E.
Clarke	Arthur C.
Cooper	Louise
Marie	de France
Marsan	Hugo
Beigbeder	Frauauic
Kemp	Percy
Ruiz	Miguel
Austen	Mary
Amado	Jorge
Ravalec	Vincent
Tabucchi	Antonio
Michener	James A.
Dodd	Christina
Henley	Virginia
Laurens	Stephanie
Lint	Charles de
Dunning	John
Kirshenbaum	Binnie
Berriault	Gina
Nelson	Antonya
Vetere	Richard
Thornhill	Ann
Quisling	Erik
Booher	Dianna
Naylor	Grant
Atwood	Margaret
King	Stephen
Masterton	Graham
Rendell	Ruth
DUNNE	DOMINICK
Sijie	Dai
Bagshawe	Louise
Bolles	Richard Nelson
Newman	Jenny
Sweeney	Charles W.
Ambrose	Stephen E.
Allen	Conrad
Arana	Marie
Sellwood	A. V.
Lucas	James
Zimmer	William
Miller	Robert A.
Wilson	George
Burgett	Donald R.
Angelo	Bonnie
Graham	Lawrence Otis
Strait	Raymond
SIDES	HAMPTON
Putney	William W.
SAMUEL	WOLFGANG
Ambrose	Stephen E.
Naveen	Ron
Dahl	Roald
Flannery	Sean
HOAG	TAMI
SARABANDE	WILLIAM
Asimov	Isaac
Glenn	Dorothy
Woods	Stuart
Eckert	Allan W.
Kellerman	Jonathan
Kelman	James
Feather	Jane
Kelley	Kitty
KAUFMAN	PAMELA
Levey	Michael
Richardson	Joanna
Gurko	Miriam
Ferris	Monica
Penman	Sharon Kay
Skemp	Sheila L.
Pipher	Mary
Tuchman	Barbara Wertheim
Hickman	Katie
Winchester	Simon
Perry	Maria
Dolan	Brian
Fields	Bertram
Hill	Frances
Newdick	Jane
Morton	Andrew
Vanzant	Iyanla
Michaud	Ellen
Gordeeva	Ekaterina
Association	The Staff of Research Education
Crespi	Camilla T.
King	Stephen
Clark	Mary Higgins
Clark	Mary Higgins
McWilliams	Peter
CLARK	MARY HIGGINS
Broder	Michael
Rule	Ann
Hubbard	L. Ron
Peck	M. Scott
Luhrs	Janet
Angelis	Barbara De
CONRAD	JOSEPH
Greenberg	Blu
Mitchell	Mary Ann
Wood	Patrick
McCourt	Frank
Koontz	Dean R.
Tervo	Jari
Levi	Primo
Prevert	Jacques
Bantock	Nick
Twain	Mark
Moore	Christopher
Maruca	Mary
Tabucchi	Antonio
Calvino	Italo
Kureishi	Hanif
Block	Thomas
Cornwell	Bernard
Elgin	Suzette Haden
Ryan	M. J.
Beattie	Melody
Ruiz	Miguel
Palmer	Michael
Patricia	Cornwell
Coetzee	J. M.
Garland	Alex
Tanenbaum	Robert K.
Fielding	Joy
Philbrick	Nathaniel
Theroux	Paul
Evans	Nicholas
Battle	Lois
Watson	Jude
RICE	ANNE
Ludlum	Robert
Cussler	Clive
Hillerman	Tony
Shakespeare	William
Shakespeare	William
Jr.	E. Donnall Thomas
Mackay	Shena
O'Neill	J. M
Asimov	Isaac
Donoghue	Emma
Spinka	Penina Keen
Renault	Mary
Bobin	Christian
Bobin	Christian
Bauby	Jean-Dominique
Pennac	Daniel
Pennac	Daniel
Maalouf	Amin
GAINES	ERNEST J.
Barron	T. A.
AUEL	JEAN M.
McCaffrey	Anne
Dinesen	Isak
Ahlberg	Janet
Finder	Joseph
McNeill	Dan
Kam-Chuen	Master Lam
Block	Lawrence
Meltzer	Brad
Eliot	George
Follett	Ken
Spindler	Erica
McPhee	John
Gloeckner	Phoebe
Dobyns	Stephen
Carey	Jacqueline
Carey	Jacqueline
Carey	Jacqueline
Bishop	Anne
Bishop	Anne
Bishop	Anne
Ishiguro	Kazuo
Tademy	Lalita
Walters	Minette
Forster	R. A.
Liu	Aimee
Maxwell	Cathy
Alexander	Victoria
Karp	Harvey
Bretton	Barbara
Ashley	Mike Ed
Shakespeare	William
GISCHLER	VICTOR
Wharton	Edith
Estleman	Loren
GERRITSEN	TESS
Dobyns	Stephen
Rehder	Ben
Austen	Mary
Jensen	Carl
Stephens	Mitchell
Cronkite	Walter
Hamill	Pete
Rather	Dan
Drudge	Matt
Brown	Crosland
MARGOLIN	PHILLIP M.
Harris	Thomas
Hiaasen	Carl
Muller	Marcia
Brown	Rita Mae
Ludlum	Robert
Michaels	Kasey
Greeley	Andrew M.
Robinson	Bruce
Spector	Craig
SACHAR	LOUIS
Turow	Scott
Connelly	Michael
Patterson	James
Card	Orson Scott
Patterson	James
MONTGOMERY	L.M.
Banks	Lynne Reid
Fulghum	Robert
Fulghum	Robert
Fulghum	Robert
Parker	Robert B.
Okeefe	Susan H
Turow	Scott
Shakespeare	William
Garner	James Finn
Fulghum	Robert
Orton	Joe
Hagen	Uta
Bushnell	Candace
Asimov	Isaac
Asimov	Isaac
Asimov	Isaac
Wiesel	Elie
Peters	Elizabeth
Carr	Josephine
Bradley	Marion Zimmer
MacLean	Allistair
Benchley	Peter
Doyle	Sir Arthur Conan
Robb	J. D.
Uecker	Bob
Blish	James
Jones	Diana Wynne
Perry	Anne
Burnett	Frances Hodgson
Erdoes	Richard
Butcher	Jim
DUMAS	ALEXANDRE
Fleming	Ian
Helprin	Mark
Clarke	Arthur C.
Heinlein	Robert A.
Bugliosi	Vincent
Mccaffrey	Anne
Swann	E. L.
Weis	Margaret
Lackey	Mercedes
Lee	Gentry
Vornholt	John
McCaffrey	Anne
Zelazny	Roger
Seuss	Dr.
Austen	Mary
Daley	Robert
Jones	Catherine
Bellow	Saul
Proulx	E Annie
Press	Running
Hegi	Ursula
Diamond	Jared
King	Stephen
King	Stephen
Chevalier	Tracy
Frazier	Ian
Sedaris	David
McCoy	Edain
GRISHAM	JOHN
Highsmith	Patricia
Dufresne	John
Theroux	Paul
Preston	Fayrene
Miller	Rand
Cunningham	Scott
Kellerman	Jonathan
Marquez	Gabriel Garcia
Austen	Jane
Austen	Mary
Asimov	Isaac
King	Stephen
Bradbury	Ray
Benni	Stefano
Ansay	A. Manette
Farren	Caela
Blundell	William E.
Delbanco	Andrew
Naylor	Gloria
Duras	Marguerite
Lagerkvist	Par
Kaplan	Alice
Beard	Jo Ann
Brande	Dorothea
Jong	Erica
Dumas	Alexandre
Trottier	Maxine
AUEL	JEAN M.
Auel	Jean M.
Bricklin	Mark
McCaffrey	Anne
McCaffrey	Anne
Wilson	Derek A
Gadd	Iris
ROSS	DANA FULLER
Grisham	John
King	Stephen
Anthony	Piers
McCaffrey	Anne
Boie	Kirsten
Butler	Gillian
Lloyd	Marjorie L.
Fontana	David
Andrews	V.C.
Norton	Mary
Sepulveda	Luis
Snicket	Lemony
Rowling	J. K.
Reichs	Kathy
Emerick	Yahiya
GANNON	MICHAEL
Louise	Brindley
Dalton	Robin
Torres	Raaul
Steel	Danielle
White	E. B.
Salten	Felix
Pineiro	R. J.
Brookner	Anita
Forbes	Colin
Shaw	Patricia
Ortese	Anna Maria
Grisham	John
Calvino	Italo
Doherty	Paul
Biehl	Frauke
Nothomb	Amelie
MacLean	Alistair
Harris	Thomas
Lurie	Alison
Meade	Glenn
Folsom	Allan
Zinn	Dorit
Durst-Benning	Petra
Maaser	Eva
Maaser	Eva
Bayly	Jaime
Dauaz	Lindy Arriaga
Post	Laurens van der
Peters	Elizabeth
Moor	Margriet de
Pierre	Clara
Lawhead	Stephen
Berger	Frederik
Tamaro	Susanna
Berger	Ruth
Berling	Peter
Stein	R. Conrad
Matthews	Susan R.
Tyers	Kathy
Anderson	Kevin J.
Pournelle	Jerry
Hubbard	L. Ron
P.	Hogan
Wismer	Don
Daley	Brian
Cherryh	C. J.
Weber	David
Austen	Mary
Clarke	Arthur C.
Clark	Mary Higgins
Thompson	Victoria
Margolin	Phillip
Sparks	Nicholas
SAUL	JOHN
Woods	Stuart
STEEL	DANIELLE
BROWN	SANDRA
Goldberg	Leonard
TRUMAN	MARGARET
Sparks	Nicholas
Truman	Margaret
Morris	Willie
Dudgeon	Piers
Crawford	Marion
Cox	Josephine
Addis	Faith
Fitzgerald	F. Scott
Miller	Arthur
Burroughs	Augusten
Leon	Donna
Backer	Sara
Rowling	J. K.
Rowling	J. K.
Gaiman	Neil
Nix	Garth
Milne	B. Lumsden
Watterson	Bill
Plisson	Philip
Watterson	Bill
Siegel	Jan
Irving	Washington
Guisewite	Cathy
Schulz	Charles M.
Levine	Gail Carson
GUIN	URSULA K. LE
Cooper	Susan
Cooper	Susan
Cooper	Susan
Yolen	Jane
Guisewite	Cathy
Breathed	Berkeley
Cherryh	C. J.
McKinley	Robin
McKinley	Robin
Stern	Alison
Garcia	Cristina
Sebold	Alice
Steinbeck	John
Lehmann	Chrstine
Pedrolo	Manuel de
Alonso	Manuel L
Poe	Edgar Allan
Espinaus	Josep Maria
Paulsen	Gary
Danziger	Paula
STILLMAN	DEANNE
Levine	Laura
Barrett	G. C.
Razzi	Jim
Atcott	Louisa M.
Ingoglia	Gina
Barrie	J. M.
Collodi	Carlos
Whitney	P. L.
Mackler	Carolyn
Gunn	Robin Jones
Macomber	Debbie
FRIEDMAN	STEVE
Hissey	Jane
Elementary	First Grade Students of H. Byron Masterson
Landon	Margaret
Baggott	Julianna
Boese	Alex
Garrison	Webb
MCCAFFERTY	MEGAN
Matthews	Carole
Davis	Jill
Purdy	Charles
Johnson	Greg
Snow	Jonathan
Lissner	Caren
Thompson	Sylvia
Paterson	Aileen
Higgins	Jack
Rice	Molly
Ignatius	David
PEARSON	ALLISON
Tropper	Jonathan
Colgan	Jenny
Hopkins	Cathy
Hopkins	Cathy
Miller	Melissa
Chauncey	Katherine B.
Foreman	George
Editors	Betty Crocker
Ed	Grange Books
Jenkins	Jerry B.
Bly	Robert W.
Strandquist	Robert
Keillor	Garrison
Breathnach	Sarah Ban
Moran	Victoria
Austen	Mary
Austen	Mary
Gandy	Debrena Jackson
Warner	Sally
STEEL	DANIELLE
McMillan	Terry
Jones	Daniel
Roberts	Nora
Clark	Mary Higgins
Clark	Mary Higgins
Grafton	Sue
Brown	Sandra
Deveraux	Jude
Alexander	Victoria
Freiman	Kate
Roberts	Nora
Coulter	Catherine
STEEL	DANIELLE
Austen	Mary
Carle	Eric
Canfield	Jack
McCourt	Malachy
Redding	Stan
Rule	Ann
McReynolds	Glenna
Binchy	Maeve
Ludlum	Robert
Lowell	Elizabeth
Austen	Mary
Cohen	Ben
Delacroix	Claire
Delacroix	Claire
Delinsky	Barbara
Krentz	Jayne Ann
Medeiros	Teresa
Medeiros	Teresa
Kingma	Daphne Rose
Spyri	Johanna
Burke	James Lee
Erdrich	Louise
LEWIS	SHARI
Mayes	Frances
Crais	Robert
Pearson	Ridley
LUDINGTON-HOE	SUSAN
MacDonald	John D.
Jance	J.A.
Barr	Nevada
Shettles	Landrum B., Md
McCourt	Frank
PARETSKY	SARA
Burnett	Frances H.
Wells	Robin
Woodiwiss	Kathleen E.
Woodiwiss	Kathleen E.
Krentz	Jayne Ann
Erickson	Lynn
Sarno	John E.
Pacter	Trudi
Evans	Quinn Taylor
Taylor	Janelle
Garwood	Julie
Clancy	Tom
Tallant	Robert
Peters	Elizabeth
Herbert	Frank
Ibarra	Kattan
Clancy	Tom
Hazzard	Shirley
Brown	Dan
Gibbons	Kaye
Watterson	Bill
PIERCE	TAMORA
Martin	Ann M.
Trotman	Felicity
Martin	Ann M.
Martin	Ann M.
Travis	Falcon
Martin	Ann M.
Dahl	Roald
Lovitt	Chip
Grey	Harriet
King	Stephen
King	Stephen
Cornwell	Patricia Daniels
Canfield	Jack
King	Stephen
Wilson	Robert A.
Parry	Owen
Parry	Owen
Parry	Owen
Perry	Michael
Rice	Anne
Yarbro	Chelsea Quinn
Patterson	Freeman
Gladwell	Malcolm
Krishnamurti	Jiddu
Dalrymple	William
Csikszentmihalyi	Mihaly
Hoffman	Paul
Watts	Duncan J.
Lamb	Christina
Singh	Sarina
Grewal	Royina
Faber	Inez McAlister
McDowell	Dottie
Cornwell	Patricia Daniels
Beauman	Sally
Solotaroff	Paul
White	Stephen
Singer	Peter
Evans-Wentz	W. Y.
Davies	Robertson
Stevenson	Robert Louis
Spyri	Johanna
Ibsen	Henrik
Chopin	Kate
Conrad	Joseph
Wilde	Oscar
Huxley	Aldous
Herbert	Frank
Forster	E.M.
Matthiessen	Peter
Allende	Isabel
Smith	Martin Cruz
Cornwell	Bernard
Sanders	Lawrence
McGrady	John F.
Conroy	Pat
Lofts	Norah
Bakker	Robert T.
Shea	Suzanne Strempek
Barr	Nevada
Martin	Valerie
Letts	Billie
Patchett	Ann
Patterson	James
Dew	Robb Forman
Hamill	Pete
Nylund	Eric
Eco	Umberto
Adams	Douglas
Twain	Mark
Kaye	Mary Margaret
Krentz	Jayne Ann
Warden	Michael D.
Stanley	Thomas J.
Brown	Rosellen
Truman	Margaret
Narayan	R.K.
Brown	George Mackay
Milligan	Spike
Paine	Thomas
Austen	Jane
Hardy	Thomas
Hill	A. J.
Hill	A. J.
Hill	A. J.
Sala	Sharon
Magazine	Guideposts
Sparks	Nicholas
Kinsella	Sophie
Watts	Marie
Richardson	Bill
BROWNE	JILL CONNER
Lowry	Lois
O'Neal	Katherine
